Id,Model,Img_size,Batch_size,Epochs,Weight_decay,Num_gen,Date,Time
43833e,wgan,128,128,30,0.0,3000,12/10/2019,13:18:34
ecc55e,superresgan,128,32,10,0.001,3000,12/10/2019,13:19:38
